run_ts,i,label,bank,merchant_name,message
04:25:2026 13:28:09,1,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Dutchmans Market,Declined - Invalid Bank or Card Information.
04:25:2026 13:28:09,2,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:28:22,3,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 13:28:22,4,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Approved.
04:25:2026 13:28:23,5,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 13:28:50,6,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:28:55,7,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 13:28:56,8,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:28:56,9,ASSIGNMENT - INSUFFICIENT_FUNDS,Jank Bank,Benjas Thai Sushi,Error - Bank Not Available.
04:25:2026 13:28:57,10,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 13:29:03,11,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 13:29:03,12,ASSIGNMENT - Approved,CaliBear,Costco,Declined - Invalid Merchant Credentials.
04:25:2026 13:29:27,13,ASSIGNMENT - Approved,Jeffs Bank,Costco,Approved.
04:25:2026 13:29:40,14,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Approved.
04:25:2026 13:29:40,15,ASSIGNMENT - Approved,Wild West Bank,Wood Ash Rye,Declined - Invalid Bank or Card Information.
04:25:2026 13:29:41,16,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Approved.
04:25:2026 13:29:54,17,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:29:54,18,ASSIGNMENT - Approved,Wild West Bank,Mortys Cafe,Declined - Invalid Bank or Card Information.
04:25:2026 13:29:55,19,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 13:30:22,20,ASSIGNMENT - Approved,Jeffs Bank,Pica Rica BBQ,Error - Bank Not Available.
04:25:2026 13:30:27,21,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:30:28,22,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:30:54,23,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:30:55,24,ASSIGNMENT - Approved,Tophers Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:30:56,25,ASSIGNMENT - INSUFFICIENT_FUNDS,Corbin Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:19,26,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:31:20,27,ASSIGNMENT - Approved,Corbin Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:20,28,ASSIGNMENT - BAD_TOKEN,Wild West Bank,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 13:31:21,29,ASSIGNMENT - Approved,CaliBear,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 13:31:21,30,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:22,31,ASSIGNMENT - Approved,Corbin Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:23,32,ASSIGNMENT - INSUFFICIENT_FUNDS,Corbin Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:23,33,ASSIGNMENT - BAD_TOKEN,Wild West Bank,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 13:31:24,34,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:31:24,35,ASSIGNMENT - Approved,Tophers Bank,Rancheritos Mexican Food,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:25,36,ASSIGNMENT - Approved,CaliBear,Arctic Circle,Declined - Invalid Merchant Credentials.
04:25:2026 13:31:38,37,ASSIGNMENT - INSUFFICIENT_FUNDS,Jeffs Bank,Sues Pet Castle,Approved.
04:25:2026 13:31:50,38,ASSIGNMENT - BAD_CVV,Jeffs Bank,Costco,Declined - Invalid Merchant Credentials.
04:25:2026 13:31:51,39,ASSIGNMENT - Approved,Wild West Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:57,40,ASSIGNMENT - Approved,Jeffs Bank,Costco,Approved.
04:25:2026 13:31:57,41,ASSIGNMENT - Approved,CaliBear,Costco,Declined - Invalid Merchant Credentials.
04:25:2026 13:31:58,42,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:31:58,43,ASSIGNMENT - Approved,Corbin Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:32:25,44,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:32:25,45,ASSIGNMENT - BAD_TOKEN,Jeffs Bank,Utah Tech Campus Bookstore,Declined - Invalid Merchant Credentials.
04:25:2026 13:32:26,46,ASSIGNMENT - Approved,CaliBear,Costco,Declined - Invalid Merchant Credentials.
04:25:2026 13:32:27,47,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Painted Pony,Declined - Invalid Bank or Card Information.
04:25:2026 13:32:50,48,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:33:17,49,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:33:18,50,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:33:44,51,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:33:46,52,ASSIGNMENT - BAD_TOKEN,Corbin Bank,Georges Corner Restaurant,Declined - Invalid Merchant Credentials.
04:25:2026 13:33:46,53,ASSIGNMENT - Approved,Tophers Bank,Desert Rat,Declined - Invalid Bank or Card Information.
04:25:2026 13:33:47,54,ASSIGNMENT - Approved,Tophers Bank,Tommys Express Car Wash,Declined - Invalid Bank or Card Information.
04:25:2026 13:33:47,55,ASSIGNMENT - Approved,CaliBear,Cafe Rio,Declined - Invalid Merchant Credentials.
04:25:2026 13:34:14,56,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:34:14,57,ASSIGNMENT - Approved,CaliBear,Swig,Declined - Invalid Merchant Credentials.
04:25:2026 13:34:41,58,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:34:41,59,ASSIGNMENT - Approved,CaliBear,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 13:34:42,60,ASSIGNMENT - INSUFFICIENT_FUNDS,CaliBear,Cafe Rio,Declined - Invalid Merchant Credentials.
04:25:2026 13:35:05,61,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:35:06,62,ASSIGNMENT - Approved,Jeffs Bank,Swig,Approved.
04:25:2026 13:35:07,63,ASSIGNMENT - Approved,CaliBear,Swig,Declined - Invalid Merchant Credentials.
04:25:2026 13:35:33,64,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:35:34,65,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:35:34,66,ASSIGNMENT - Approved,Tophers Bank,Taco Amigo,Declined - Invalid Bank or Card Information.
04:25:2026 13:35:35,67,ASSIGNMENT - Approved,Corbin Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:35:35,68,ASSIGNMENT - Approved,Corbin Bank,Tagg and Go Car Wash,Declined - Invalid Bank or Card Information.
04:25:2026 13:35:36,69,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 13:35:36,70,ASSIGNMENT - Approved,CaliBear,Zion Brewery,Declined - Invalid Merchant Credentials.
04:25:2026 13:36:03,71,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:36:27,72,ASSIGNMENT - Approved,Jeffs Bank,Judds Store,Approved.
04:25:2026 13:36:27,73,ASSIGNMENT - Approved,Wild West Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:36:28,74,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:36:28,75,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:36:29,76,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:36:30,77,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:36:56,78,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Error - Bank Not Available.
04:25:2026 13:37:23,79,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:37:23,80,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:23,81,ASSIGNMENT - Approved,Tophers Bank,Swig,Service Unavailable
04:25:2026 13:37:24,82,ASSIGNMENT - Approved,CaliBear,Cafe Rio,Declined - Invalid Merchant Credentials.
04:25:2026 13:37:24,83,ASSIGNMENT - Approved,Wild West Bank,Costco,Service Unavailable
04:25:2026 13:37:25,84,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:25,85,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Service Unavailable
04:25:2026 13:37:25,86,ASSIGNMENT - Approved,Jeffs Bank,Costco,Service Unavailable
04:25:2026 13:37:25,87,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Service Unavailable
04:25:2026 13:37:26,88,ASSIGNMENT - Approved,Corbin Bank,Nielsens Frozen Custard,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:26,89,ASSIGNMENT - Approved,Wild West Bank,Rancheritos Mexican Food,Service Unavailable
04:25:2026 13:37:39,90,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:37:39,91,ASSIGNMENT - Approved,CaliBear,Cafe Rio,Service Unavailable
04:25:2026 13:37:39,92,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Service Unavailable
04:25:2026 13:37:39,93,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Service Unavailable
04:25:2026 13:37:39,94,ASSIGNMENT - Approved,Tophers Bank,Cafe Rio,Service Unavailable
04:25:2026 13:37:39,95,ASSIGNMENT - Approved,Jeffs Bank,Costco,Service Unavailable
04:25:2026 13:37:40,96,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Service Unavailable
04:25:2026 13:37:40,97,ASSIGNMENT - Approved,CaliBear,Walmart,Service Unavailable
04:25:2026 13:37:40,98,ASSIGNMENT - Approved,CaliBear,Station 2 Bar,Service Unavailable
04:25:2026 13:37:40,99,ASSIGNMENT - Approved,Tophers Bank,Swig,Service Unavailable
04:25:2026 13:37:40,100,ASSIGNMENT - Approved,Corbin Bank,Walmart,Service Unavailable
04:25:2026 13:37:40,101,ASSIGNMENT - Approved,Jank Bank,Cafe Rio,Service Unavailable
04:25:2026 13:37:41,102,ASSIGNMENT - Approved,Tophers Bank,Walmart,Service Unavailable
04:25:2026 13:37:41,103,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Service Unavailable
04:25:2026 13:37:41,104,ASSIGNMENT - Approved,Wild West Bank,Arctic Circle,Service Unavailable
04:25:2026 13:37:41,105,ASSIGNMENT - Approved,Tophers Bank,Walmart,Service Unavailable
04:25:2026 13:37:41,106,ASSIGNMENT - Approved,Jeffs Bank,Viva Chicken,Service Unavailable
04:25:2026 13:37:41,107,ASSIGNMENT - Approved,CaliBear,Bear Paw Cafe,Service Unavailable
04:25:2026 13:37:41,108,ASSIGNMENT - BAD_TOKEN,Tophers Bank,Costco,Service Unavailable
04:25:2026 13:37:42,109,ASSIGNMENT - BAD_TOKEN,Jeffs Bank,Viva Chicken,Service Unavailable
04:25:2026 13:37:42,110,ASSIGNMENT - Approved,Wild West Bank,Tommys Express Car Wash,Service Unavailable
04:25:2026 13:37:42,111,ASSIGNMENT - Approved,Tophers Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:42,112,ASSIGNMENT - Approved,Jank Bank,Swig,Service Unavailable
04:25:2026 13:37:43,113,ASSIGNMENT - Approved,CaliBear,Cafe Rio,Service Unavailable
04:25:2026 13:37:43,114,ASSIGNMENT - BAD_CVV,Corbin Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:43,115,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Service Unavailable
04:25:2026 13:37:43,116,ASSIGNMENT - Approved,Wild West Bank,Walmart,Service Unavailable
04:25:2026 13:37:44,117,ASSIGNMENT - Approved,Tophers Bank,Costco,Service Unavailable
04:25:2026 13:37:44,118,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:44,119,ASSIGNMENT - Approved,Jeffs Bank,FeelLove Coffee,Service Unavailable
04:25:2026 13:37:44,120,ASSIGNMENT - Approved,Jeffs Bank,Swig,Service Unavailable
04:25:2026 13:37:45,121,ASSIGNMENT - Approved,Tophers Bank,Fiiz Drinks,Service Unavailable
04:25:2026 13:37:45,122,ASSIGNMENT - BAD_TOKEN,Wild West Bank,Walmart,Service Unavailable
04:25:2026 13:37:45,123,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Service Unavailable
04:25:2026 13:37:45,124,ASSIGNMENT - BAD_CVV,Jeffs Bank,Costco,Service Unavailable
04:25:2026 13:37:45,125,ASSIGNMENT - BAD_CVV,Wild West Bank,Judds Store,Service Unavailable
04:25:2026 13:37:46,126,ASSIGNMENT - Approved,Tophers Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:46,127,ASSIGNMENT - Approved,Tophers Bank,Smiths,Service Unavailable
04:25:2026 13:37:46,128,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Service Unavailable
04:25:2026 13:37:46,129,ASSIGNMENT - Approved,Tophers Bank,Smiths,Service Unavailable
04:25:2026 13:37:47,130,ASSIGNMENT - Approved,Tophers Bank,Costco,Service Unavailable
04:25:2026 13:37:47,131,ASSIGNMENT - Approved,Tophers Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:48,132,ASSIGNMENT - Approved,Wild West Bank,Rancheritos Mexican Food,Declined - Invalid Bank or Card Information.
04:25:2026 13:37:48,133,ASSIGNMENT - Approved,Jeffs Bank,Zion Outfitters,Approved.
04:25:2026 13:37:54,134,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 13:37:55,135,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:38:00,136,ASSIGNMENT - Approved,Jeffs Bank,Costa Vida,Declined - Insufficient Funds.
04:25:2026 13:38:27,137,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:38:53,138,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:38:54,139,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:38:54,140,ASSIGNMENT - INSUFFICIENT_FUNDS,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 13:39:00,141,ASSIGNMENT - Approved,Jeffs Bank,Arctic Circle,Declined - Insufficient Funds.
04:25:2026 13:39:01,142,ASSIGNMENT - Approved,Tophers Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:01,143,ASSIGNMENT - Approved,Corbin Bank,Georges Corner Restaurant,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:02,144,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:02,145,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:39:03,146,ASSIGNMENT - Approved,Corbin Bank,Red Rock Bicycle,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:04,147,ASSIGNMENT - Approved,CaliBear,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 13:39:04,148,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 13:39:05,149,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:06,150,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:06,151,ASSIGNMENT - Approved,Wild West Bank,Pica Rica BBQ,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:12,152,ASSIGNMENT - Approved,Jeffs Bank,Swig,Declined - Insufficient Funds.
04:25:2026 13:39:12,153,ASSIGNMENT - BAD_CVV,Jeffs Bank,Swig,Declined - Invalid Merchant Credentials.
04:25:2026 13:39:13,154,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:39:14,155,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 13:39:37,156,ASSIGNMENT - Approved,Jeffs Bank,Costco,Approved.
04:25:2026 13:39:38,157,ASSIGNMENT - Approved,CaliBear,Arctic Circle,Declined - Invalid Merchant Credentials.
04:25:2026 13:40:04,158,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Error - Bank Not Available.
04:25:2026 13:40:17,159,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:40:30,160,ASSIGNMENT - Approved,Jeffs Bank,Swig,Declined - Insufficient Funds.
04:25:2026 13:40:30,161,ASSIGNMENT - Approved,Corbin Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:40:31,162,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Sakura Japanese Steakhouse,Declined - Invalid Bank or Card Information.
04:25:2026 13:40:57,163,ASSIGNMENT - Approved,Jeffs Bank,Mortys Cafe,Error - Bank Not Available.
04:25:2026 13:40:58,164,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:40:58,165,ASSIGNMENT - BAD_TOKEN,Wild West Bank,Swig,Declined - Invalid Merchant Credentials.
04:25:2026 13:41:25,166,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Error - Bank Not Available.
04:25:2026 13:41:26,167,ASSIGNMENT - Approved,Tophers Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 13:41:26,168,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:41:27,169,ASSIGNMENT - Approved,Tophers Bank,Zion Brewery,Declined - Invalid Bank or Card Information.
04:25:2026 13:41:27,170,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:41:33,171,ASSIGNMENT - Approved,Jeffs Bank,Rancheritos Mexican Food,Approved.
04:25:2026 13:41:34,172,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:41:46,173,ASSIGNMENT - Approved,Jeffs Bank,Arctic Circle,Declined - Insufficient Funds.
