run_ts,i,label,bank,merchant_name,message
04:25:2026 13:54:46,336,ASSIGNMENT - Approved,CaliBear,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 13:54:47,337,ASSIGNMENT - INSUFFICIENT_FUNDS,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:54:47,338,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:54:48,339,ASSIGNMENT - Approved,Jeffs Bank,Swig,Declined - Insufficient Funds.
04:25:2026 13:54:48,340,ASSIGNMENT - BAD_TOKEN,Wild West Bank,Swig,Declined - Invalid Merchant Credentials.
04:25:2026 13:54:54,341,ASSIGNMENT - Approved,Jeffs Bank,Arctic Circle,Declined - Insufficient Funds.
04:25:2026 13:54:55,342,ASSIGNMENT - Approved,Tophers Bank,Bear Paw Cafe,Declined - Invalid Bank or Card Information.
04:25:2026 13:54:56,343,ASSIGNMENT - Approved,Tophers Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:54:56,344,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:55:02,345,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:55:02,346,ASSIGNMENT - Approved,Jank Bank,Swig,Error - Bank Not Available.
04:25:2026 13:55:03,347,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:09,348,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 13:55:32,349,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:55:33,350,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:34,351,ASSIGNMENT - Approved,CaliBear,Cafe Rio,Declined - Invalid Merchant Credentials.
04:25:2026 13:55:39,352,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:55:40,353,ASSIGNMENT - BAD_TOKEN,Tophers Bank,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 13:55:40,354,ASSIGNMENT - Approved,CaliBear,Cafe Rio,Declined - Invalid Merchant Credentials.
04:25:2026 13:55:46,355,ASSIGNMENT - Approved,Jeffs Bank,Costco,Approved.
04:25:2026 13:55:46,356,ASSIGNMENT - Approved,CaliBear,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 13:55:47,357,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:48,358,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:48,359,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:55:49,360,ASSIGNMENT - Approved,Wild West Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:49,361,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 13:55:50,362,ASSIGNMENT - Approved,Wild West Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:51,363,ASSIGNMENT - Approved,Corbin Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 13:55:51,364,ASSIGNMENT - BAD_CVV,CaliBear,Rancheritos Mexican Food,Declined - Invalid Merchant Credentials.
04:25:2026 13:55:57,365,ASSIGNMENT - Approved,Jeffs Bank,gigi gelati,Declined - Insufficient Funds.
04:25:2026 13:55:57,366,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Approved.
04:25:2026 13:55:58,367,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:04,368,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 13:56:04,369,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:05,370,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:06,371,ASSIGNMENT - Approved,Corbin Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:06,372,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:07,373,ASSIGNMENT - Approved,Tophers Bank,Utah Tech Campus Bookstore,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:07,374,ASSIGNMENT - Approved,CaliBear,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 13:56:08,375,ASSIGNMENT - Approved,Wild West Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:08,376,ASSIGNMENT - Approved,Wild West Bank,Contact Climbing,Declined - Invalid Bank or Card Information.
04:25:2026 13:56:14,377,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:56:41,378,ASSIGNMENT - Approved,Jeffs Bank,Pica Rica BBQ,Error - Bank Not Available.
04:25:2026 13:56:44,379,ASSIGNMENT - Approved,Corbin Bank,Station 2 Bar,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:11,380,ASSIGNMENT - Approved,Jeffs Bank,Sol Foods,Error - Bank Not Available.
04:25:2026 13:57:11,381,ASSIGNMENT - Approved,Tophers Bank,Nielsens Frozen Custard,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:12,382,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:12,383,ASSIGNMENT - Approved,Jeffs Bank,Zion Outfitters,Approved.
04:25:2026 13:57:13,384,ASSIGNMENT - Approved,Corbin Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:14,385,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:14,386,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:15,387,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:57:15,388,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 13:57:28,389,ASSIGNMENT - Approved,Jeffs Bank,Cliffside Restaurant,Declined - Insufficient Funds.
04:25:2026 13:57:28,390,ASSIGNMENT - BAD_TOKEN,CaliBear,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 13:57:55,391,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:57:55,392,ASSIGNMENT - INSUFFICIENT_FUNDS,CaliBear,Bishops Grill,Declined - Invalid Merchant Credentials.
04:25:2026 13:58:22,393,ASSIGNMENT - Approved,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 13:58:49,394,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 13:58:49,395,ASSIGNMENT - BAD_TOKEN,Jeffs Bank,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 13:58:55,396,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 13:58:55,397,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:59:22,398,ASSIGNMENT - Approved,Jeffs Bank,Swig,Error - Bank Not Available.
04:25:2026 13:59:45,399,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 13:59:46,400,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:59:47,401,ASSIGNMENT - Approved,Wild West Bank,Angelicas Mexican Grill,Declined - Invalid Bank or Card Information.
04:25:2026 13:59:47,402,ASSIGNMENT - Approved,CaliBear,Bishops Grill,Declined - Invalid Merchant Credentials.
04:25:2026 13:59:48,403,ASSIGNMENT - Approved,Wild West Bank,Sweet Rolled Tacos,Declined - Invalid Bank or Card Information.
04:25:2026 13:59:48,404,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 13:59:49,405,ASSIGNMENT - Approved,Wild West Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 14:00:15,406,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 14:00:16,407,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 14:00:40,408,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 14:00:45,409,ASSIGNMENT - Approved,Jeffs Bank,Arctic Circle,Declined - Insufficient Funds.
04:25:2026 14:00:46,410,ASSIGNMENT - Approved,Jank Bank,Cafe Rio,Error - Bank Not Available.
04:25:2026 14:00:47,411,ASSIGNMENT - Approved,Jeffs Bank,Swig,Declined - Insufficient Funds.
04:25:2026 14:00:47,412,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 14:01:00,413,ASSIGNMENT - Approved,Jeffs Bank,Costco,Approved.
04:25:2026 14:01:23,414,ASSIGNMENT - INSUFFICIENT_FUNDS,Jeffs Bank,Tagg and Go Car Wash,Declined - Insufficient Funds.
04:25:2026 14:01:24,415,ASSIGNMENT - Approved,Wild West Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:25,416,ASSIGNMENT - BAD_CVV,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:25,417,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:26,418,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Approved.
04:25:2026 14:01:26,419,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:27,420,ASSIGNMENT - Approved,Jeffs Bank,Zion Outfitters,Declined - Insufficient Funds.
04:25:2026 14:01:28,421,ASSIGNMENT - Approved,Tophers Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:28,422,ASSIGNMENT - Approved,CaliBear,Lins,Declined - Invalid Merchant Credentials.
04:25:2026 14:01:29,423,ASSIGNMENT - Approved,Jeffs Bank,Riggattis Pizza,Approved.
04:25:2026 14:01:29,424,ASSIGNMENT - BAD_TOKEN,Tophers Bank,Pica Rica BBQ,Declined - Invalid Merchant Credentials.
04:25:2026 14:01:30,425,ASSIGNMENT - BAD_CVV,Jeffs Bank,Walmart,Declined - Invalid Merchant Credentials.
04:25:2026 14:01:31,426,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:31,427,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 14:01:32,428,ASSIGNMENT - Approved,CaliBear,Arctic Circle,Declined - Invalid Merchant Credentials.
04:25:2026 14:01:32,429,ASSIGNMENT - Approved,Corbin Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:33,430,ASSIGNMENT - Approved,Jeffs Bank,Bear Paw Cafe,Approved.
04:25:2026 14:01:33,431,ASSIGNMENT - Approved,Corbin Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:34,432,ASSIGNMENT - Approved,Jank Bank,Red Rock Bicycle,Error - Bank Not Available.
04:25:2026 14:01:34,433,ASSIGNMENT - Approved,Corbin Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:35,434,ASSIGNMENT - Approved,Tophers Bank,Viva Chicken,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:36,435,ASSIGNMENT - Approved,Wild West Bank,Judds Store,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:36,436,ASSIGNMENT - INSUFFICIENT_FUNDS,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 14:01:37,437,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:01:42,438,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 14:01:55,439,ASSIGNMENT - Approved,Jeffs Bank,Cafe Rio,Declined - Insufficient Funds.
04:25:2026 14:01:56,440,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:22,441,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 14:02:23,442,ASSIGNMENT - Approved,Tophers Bank,Tommys Express Car Wash,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:24,443,ASSIGNMENT - Approved,Jeffs Bank,Costa Vida,Approved.
04:25:2026 14:02:29,444,ASSIGNMENT - Approved,Jeffs Bank,Desert Rat,Declined - Insufficient Funds.
04:25:2026 14:02:42,445,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 14:02:43,446,ASSIGNMENT - Approved,CaliBear,Costco,Declined - Invalid Merchant Credentials.
04:25:2026 14:02:43,447,ASSIGNMENT - Approved,Tophers Bank,Tommys Express Car Wash,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:44,448,ASSIGNMENT - Approved,Corbin Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:44,449,ASSIGNMENT - INSUFFICIENT_FUNDS,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:45,450,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:45,451,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:46,452,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:46,453,ASSIGNMENT - Approved,Wild West Bank,Sol Foods,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:47,454,ASSIGNMENT - Approved,Tophers Bank,Station 2 Bar,Declined - Invalid Bank or Card Information.
04:25:2026 14:02:53,455,ASSIGNMENT - Approved,Jeffs Bank,Riggattis Pizza,Declined - Insufficient Funds.
04:25:2026 14:03:16,456,ASSIGNMENT - BAD_CVV,Jeffs Bank,Cafe Rio,Declined - Invalid Merchant Credentials.
04:25:2026 14:03:43,457,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Error - Bank Not Available.
04:25:2026 14:04:09,458,ASSIGNMENT - Approved,Jeffs Bank,Teriyaki Grill,Error - Bank Not Available.
04:25:2026 14:04:10,459,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:11,460,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:11,461,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:24,462,ASSIGNMENT - INSUFFICIENT_FUNDS,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 14:04:24,463,ASSIGNMENT - Approved,Tophers Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:25,464,ASSIGNMENT - Approved,CaliBear,Riggattis Pizza,Declined - Invalid Merchant Credentials.
04:25:2026 14:04:26,465,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:26,466,ASSIGNMENT - Approved,Tophers Bank,Judds Store,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:27,467,ASSIGNMENT - Approved,CaliBear,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 14:04:27,468,ASSIGNMENT - Approved,Jeffs Bank,Costco,Approved.
04:25:2026 14:04:28,469,ASSIGNMENT - Approved,Wild West Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:28,470,ASSIGNMENT - BAD_TOKEN,Tophers Bank,Smiths,Declined - Invalid Merchant Credentials.
04:25:2026 14:04:55,471,ASSIGNMENT - Approved,Jeffs Bank,Costa Vida,Error - Bank Not Available.
04:25:2026 14:04:55,472,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 14:04:56,473,ASSIGNMENT - Approved,Corbin Bank,Pizza Factory,Declined - Invalid Bank or Card Information.
04:25:2026 14:05:23,474,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Error - Bank Not Available.
04:25:2026 14:05:23,475,ASSIGNMENT - Approved,Jeffs Bank,Swig,Approved.
04:25:2026 14:05:24,476,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:05:24,477,ASSIGNMENT - Approved,Tophers Bank,Bear Paw Cafe,Declined - Invalid Bank or Card Information.
04:25:2026 14:05:30,478,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 14:05:30,479,ASSIGNMENT - Approved,Wild West Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:05:36,480,ASSIGNMENT - Approved,Jeffs Bank,Tifinys Creperie,Approved.
04:25:2026 14:06:00,481,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 14:06:00,482,ASSIGNMENT - Approved,Jeffs Bank,Smiths,Declined - Insufficient Funds.
04:25:2026 14:06:06,483,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Declined - Insufficient Funds.
04:25:2026 14:06:07,484,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:07,485,ASSIGNMENT - Approved,Jeffs Bank,Costco,Declined - Insufficient Funds.
04:25:2026 14:06:08,486,ASSIGNMENT - Approved,CaliBear,Cappellettis,Declined - Invalid Merchant Credentials.
04:25:2026 14:06:08,487,ASSIGNMENT - Approved,Tophers Bank,Costa Vida,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:09,488,ASSIGNMENT - Approved,Wild West Bank,Cafe Rio,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:09,489,ASSIGNMENT - Approved,Wild West Bank,Arctic Circle,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:10,490,ASSIGNMENT - Approved,Tophers Bank,Smiths,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:11,491,ASSIGNMENT - Approved,Jeffs Bank,Tommys Express Car Wash,Declined - Insufficient Funds.
04:25:2026 14:06:23,492,ASSIGNMENT - Approved,Jeffs Bank,Walmart,Approved.
04:25:2026 14:06:24,493,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:24,494,ASSIGNMENT - Approved,Wild West Bank,Costco,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:25,495,ASSIGNMENT - Approved,Tophers Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:26,496,ASSIGNMENT - Approved,Corbin Bank,Walmart,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:53,497,ASSIGNMENT - INSUFFICIENT_FUNDS,Jeffs Bank,Costco,Error - Bank Not Available.
04:25:2026 14:06:53,498,ASSIGNMENT - Approved,Tophers Bank,Swig,Declined - Invalid Bank or Card Information.
04:25:2026 14:06:54,499,ASSIGNMENT - Approved,Corbin Bank,Taco Amigo,Declined - Invalid Bank or Card Information.
04:25:2026 14:07:20,500,ASSIGNMENT - Approved,Jeffs Bank,Desert Rat,Error - Bank Not Available.
