"Name","Token"
"Tifinys Creperie","xGl2zcPA"
"Dutchmans Market","hIhksw4s"
"Sweet Rolled Tacos","W71AnrQu"
"Cafe Rio","GMuOikG4"
"Judds Store","U8et7kOX"
"Cliffside Restaurant","hiKzn4GE"
"Bear Paw Cafe","0PDOt87g"
"Sues Pet Castle","CUQpt2hi"
"Contact Climbing","BqzXGsPJ"
"Fiiz Drinks","xRcMVZt5"
"Nielsens Frozen Custard","nvfeNWrn"
"Viva Chicken","xPOMrAu2"
"Riggattis Pizza","9rhu9xjT"
"Tagg and Go Car Wash","9e25AhO8"
"gigi gelati","IXNDePt6"
"Costco","DZXBV92s"
"Mortys Cafe","FjPVlUR4"
"Bishops Grill","szZRz8oe"
"Veyo Pies","WjY3Fj1L"
"Angelicas Mexican Grill","sIwVMwzF"
"Xetava Gardens Cafe","ri47FJqo"
"Benjas Thai Sushi","febuSu6O"
"FeelLove Coffee","MDSHVulj"
"Teriyaki Grill","qi3vvwtv"
"Desert Rat","GgnRlH67"
"Red Rock Roasting Co","8aeu90dy"
"Pica Rica BBQ","vdMGy7IJ"
"Georges Corner Restaurant","rGtsiE0e"
"Painted Pony","QFhahv4K"
"Sakura Japanese Steakhouse","5yGuXhvV"
"Pizza Factory","PPBqnohw"
"Big Shots Golf","1wgN5E1t"
"Zion Brewery","RTwJShn1"
"Red Rock Bicycle","9KqkBtAn"
"Sol Foods","m39ShvHl"
"Tommys Express Car Wash","vd8vwysf"
"Arctic Circle","OCmngQJ4"
"Costa Vida","AzFM4BXv"
"Utah Tech Campus Bookstore","ISDKxbCF"
"Swig","GVkgKk5O"
"Smiths","TlAnbSU1"
"Irmitas Casita","9uPWL3S7"
"Cappellettis","U55VhFuk"
"Zion Outfitters","RVKwjpQs"
"Lins","zkkn0n6M"
"Station 2 Bar","EoAv62Cr"
"Taco Amigo","BsM86wrq"
"Wood Ash Rye","QAJr8xhB"
"Walmart","260fZojB"
"Rancheritos Mexican Food","g0EleGLo"
"Handlebar Cafe","tpe4MGzB"